day,gross_usd
2026-08-20,115.86
2026-08-19,209.01
2026-08-18,230.47
2026-08-17,200.3
2026-08-16,190.85
2026-08-15,194.09
2026-08-14,194.41
2026-08-13,193.69
2026-08-12,191.86
2026-08-11,193.69
2026-08-10,200.34
2026-08-09,195.13
2026-08-08,192.65
2026-08-07,306.52
2026-08-06,793.41
2026-08-05,806.92
2026-08-04,789.57
2026-08-03,961.29
2026-08-02,723.59
2026-08-01,671.14
2026-07-31,609.02
2026-07-30,1236.61
2026-07-29,619.62
2026-07-28,712.39
2026-07-27,728.58
2026-07-26,605.65
2026-07-25,672.72
2026-07-24,681.81
2026-07-23,685.27
2026-07-22,1035.23
