day,us_west1_gib,asia_northeast1_gib,total_gib,gross_usd
2026-06-28,11.32,0.0,11.32,1.11
2026-06-29,37.5,0.0,37.5,3.24
2026-06-30,22.58,0.0,22.58,2.0
2026-07-01,22.69,0.0,22.69,2.17
2026-07-02,25.78,0.0,25.78,2.74
2026-07-03,20.0,0.0,20.0,2.15
2026-07-04,18.72,0.0,18.72,1.98
2026-07-05,15.6,0.0,15.6,1.77
2026-07-06,35.61,0.0,35.61,3.47
2026-07-07,26.26,0.0,26.26,2.68
2026-07-08,36.73,0.0,36.73,3.66
2026-07-09,18.5,0.0,18.5,1.86
2026-07-10,40.92,0.0,40.92,4.47
2026-07-11,47.25,0.0,47.25,4.21
2026-07-12,57.84,0.0,57.84,6.05
2026-07-13,38.85,0.0,38.85,4.19
2026-07-14,41.11,0.0,41.11,4.43
2026-07-15,23.35,0.0,23.35,2.6
2026-07-16,22.15,0.0,22.15,2.41
2026-07-17,14.63,0.0,14.63,1.55
2026-07-18,3.69,0.0,3.69,0.35
2026-07-19,7.91,0.0,7.91,0.79
2026-07-20,12.14,0.0,12.14,1.2
2026-07-21,13.43,0.0,13.43,1.28
2026-07-22,55.14,0.0,55.14,5.15
2026-07-23,35.11,0.0,35.11,3.58
2026-07-24,65.86,0.0,65.86,6.27
2026-07-25,72.01,0.0,72.01,7.92
2026-07-26,17.96,2.44,20.4,2.03
2026-07-27,99.07,197.43,296.49,32.67
2026-07-28,42.81,29.28,72.09,7.46
2026-07-29,41.21,2.28,43.49,4.0
2026-07-30,31.9,12.82,44.72,4.77
2026-07-31,35.54,3.3,38.84,3.74
2026-08-01,8.45,63.39,71.84,8.33
2026-08-02,11.92,91.88,103.8,11.33
2026-08-03,22.76,8.99,31.75,3.52
2026-08-04,28.95,27.76,56.71,6.43
2026-08-05,25.77,39.2,64.97,7.3
2026-08-06,23.5,11.94,35.44,3.7
2026-08-07,35.41,27.22,62.63,6.65
2026-08-08,16.58,18.52,35.1,4.03
2026-08-09,11.35,12.28,23.62,2.75
2026-08-10,47.1,13.52,60.62,5.65
2026-08-11,57.03,11.66,68.69,6.48
2026-08-12,108.68,15.79,124.47,11.42
2026-08-13,68.47,99.03,167.5,15.72
2026-08-14,32.49,39.78,72.27,6.97
2026-08-15,8.31,5.67,13.98,1.47
2026-08-16,10.98,10.95,21.92,2.55
2026-08-17,56.21,150.15,206.36,17.62
2026-08-18,34.24,234.61,268.86,23.03
2026-08-19,26.7,211.09,237.79,20.74
2026-08-20,93.64,218.33,311.96,27.27
