day,gross_usd
2026-07-15,14.46
2026-07-16,3.3
2026-07-17,2.47
2026-07-18,1.25
2026-07-19,1.69
2026-07-20,25.24
2026-07-21,15.05
2026-07-22,22.1
2026-07-23,16.44
2026-07-24,19.65
2026-07-25,21.79
2026-07-26,17.98
2026-07-27,46.56
2026-07-28,27.49
2026-07-29,17.6
2026-07-30,23.56
2026-07-31,6.13
2026-08-01,26.83
2026-08-02,19.87
2026-08-03,5.32
2026-08-04,8.25
2026-08-05,9.21
2026-08-06,5.64
2026-08-07,8.54
2026-08-08,6.32
2026-08-09,4.88
2026-08-10,7.81
2026-08-11,8.61
2026-08-12,13.54
2026-08-13,17.9
2026-08-14,9.12
2026-08-15,3.74
2026-08-16,4.83
2026-08-17,20.17
2026-08-18,25.64
2026-08-19,23.24
2026-08-20,28.37
